Rank,Name,Platform,Year,Genre,ESRB_Rating,Publisher,Developer,Critic_Score,User_Score,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,,,,,,,,
1,Tetris,Series,1989,N/A,Series,Nintendo,Alexey Pajitnov,,,,496.4,,,,,,1989,27th Feb 20,https://www.vgchartz.com/game/226237/tetris/?region=All,1,/games/boxart/full_2881264AmericaFrontccc.jpg,N/A
2,Pokemon,Series,1998,N/A,Series,Nintendo,Game Freak,,,,440.5,,,,,,1998,03rd Feb 20,https://www.vgchartz.com/game/226034/pokemon/?region=All,1,/games/boxart/full_4261443AmericaFrontccc.jpg,N/A
3,Call of Duty,Series,2003,N/A,Series,Activision,Infinity Ward,,,,400,,,,,,2003,03rd Feb 20,https://www.vgchartz.com/game/226036/call-of-duty/?region=All,1,/games/boxart/full_9594883AmericaFrontccc.png,N/A
4,Super Mario,Series,1983,N/A,Series,Nintendo,Nintendo,,,,394.47,,,,,,1983,20th Feb 20,https://www.vgchartz.com/game/226187/super-mario/?region=All,1,/games/boxart/full_4441628AmericaFrontccc.jpg,N/A
5,Grand Theft Auto,Series,1998,N/A,Series,Rockstar Games,Rockstar North,,,,380,,,,,,1998,03rd Feb 20,https://www.vgchartz.com/game/226037/grand-theft-auto/?region=All,1,/games/boxart/full_7292379AmericaFrontccc.jpg,N/A
6,FIFA,Series,1993,N/A,Series,EA Sports,Extended Play Productions (1991-1997),,,,325,,,,,,1993,03rd Feb 20,https://www.vgchartz.com/game/226038/fifa/?region=All,1,/games/boxart/full_4446063AmericaFrontccc.jpg,N/A
7,Minecraft,Series,2011,N/A,Series,Mojang,Mojang,,,,238,,,,,,2011,08th Feb 20,https://www.vgchartz.com/game/226085/minecraft/?region=All,1,/games/boxart/full_5967679AmericaFrontccc.jpg,N/A
8,Minecraft,All,2011,E10,All,Mojang,Mojang AB,,,,238,,,,,,2011,08th Oct 20,https://www.vgchartz.com/game/227428/minecraft/?region=All,1,/games/boxart/full_3450397AmericaFrontccc.png,N/A
9,Lego,Series,1997,N/A,Series,Mindscape,TT Fusion,,,,203.22,,,,,,1997,01st Mar 20,https://www.vgchartz.com/game/226259/lego/?region=All,1,/games/boxart/full_6011385AmericaFrontccc.jpg,N/A
10,The Sims,Series,2000,N/A,Series,Electronic Arts,Maxis,,,,200,,,,,,2000,18th Feb 20,https://www.vgchartz.com/game/226166/the-sims/?region=All,1,/games/boxart/full_1356677AmericaFrontccc.jpg,N/A
11,Grand Theft Auto V,All,2013,M,All,Rockstar Games,Rockstar North,,,,170,,,,,,2013,08th Oct 20,https://www.vgchartz.com/game/227429/grand-theft-auto-v/?region=All,1,/games/boxart/full_5096432AmericaFrontccc.png,N/A
12,Mario Kart,Series,1992,N/A,Series,Nintendo,Nintendo,,,,168.23,,,,,,1992,20th Feb 20,https://www.vgchartz.com/game/226188/mario-kart/?region=All,1,/games/boxart/full_4399408AmericaFrontccc.jpg,N/A
13,Final Fantasy,Series,1987,N/A,Series,Square,Square,,,,168,,,,,,1987,28th Feb 20,https://www.vgchartz.com/game/226241/final-fantasy/?region=All,1,/games/boxart/full_6200477AmericaFrontccc.jpg,N/A
14,Assassin's Creed,Series,2007,N/A,Series,Ubisoft,Ubisoft,,,,155,,,,,,2007,11th Feb 20,https://www.vgchartz.com/game/226103/assassins-creed/?region=All,1,/games/boxart/full_9916295AmericaFrontccc.jpg,N/A
15,Need for Speed,Series,1994,N/A,Series,Electronic Arts,EA Black Box,,,,150,,,,,,1994,24th Feb 20,https://www.vgchartz.com/game/226227/need-for-speed/?region=All,1,/games/boxart/full_3250466AmericaFrontccc.jpg,N/A
16,Tomb Raider,Series,1996,N/A,Series,Eidos Interactive,Core Design,,,,141,,,,,,1996,27th Feb 20,https://www.vgchartz.com/game/226238/tomb-raider/?region=All,1,/games/boxart/full_4657184AmericaFrontccc.jpg,N/A
17,Madden NFL,Series,1988,N/A,Series,Electronic Arts,Park Place Productions,,,,130,,,,,,1988,25th Feb 20,https://www.vgchartz.com/game/226229/madden-nfl/?region=All,1,/games/boxart/full_9120390AmericaFrontccc.jpg,N/A
18,Resident Evil,Series,1996,N/A,Series,Capcom,Capcom,,,,127,,,,,,1996,03rd Feb 20,https://www.vgchartz.com/game/226039/resident-evil/?region=All,1,/games/boxart/full_3812017AmericaFrontccc.png,N/A
19,NBA 2K,Series,1999,N/A,Series,Sega,Visual Concepts,,,,125,,,,,,1999,16th Feb 20,https://www.vgchartz.com/game/226152/nba-2k/?region=All,1,/games/boxart/full_342983AmericaFrontccc.jpg,N/A
